Nave,Eta,Doc.Entrega,Pos.Entrega,VOLUM_ENTREGA,UMV,Material,FPE,FPAN,Status Movimiento de Mcía,Descripcion Material
MSC INGRID,2013-01-01,802917042,1,31.36,M3,762171,2012-12-29,2013-01-02,C,"MOL CASING 346 PP M&M 5185x57,15x14"
MSC INGRID,2013-01-01,802917042,2,8.466,M3,716299,2012-12-29,2013-01-02,C,MOL CASING 352 PP M&M 5185x63x15
MSC INGRID,2013-01-01,802917042,3,3.732,M3,767434,2012-12-29,2013-01-02,C,"MOL CASING346 PP M&M 2159x57,15x14HC1080"
MSC KYOTO,2012-12-27,802917047,1,9.184,M3,716305,2012-12-29,2012-12-26,C,MOL CASING 411 PP M&M 5185x82x15
MSC KYOTO,2012-12-27,802917047,2,18.396,M3,771583,2012-12-29,2012-12-26,C,MOL CASING 444 PP M&M 5185x80x14/HC792
MSC KYOTO,2012-12-27,802917047,3,15.888,M3,726740,2012-12-29,2012-12-26,C,MOL CASING 473 PP M&M 5185x56x15
MSC ELA,2012-12-21,802917050,1,20.886,M3,747273,2012-12-29,2012-12-22,C,"MOL BASE 623 PP SD 4880x82,55x12/HC/S"
MSC ELA,2012-12-21,802917050,2,11.424,M3,747279,2012-12-29,2012-12-22,C,"MOL BASE 634 PP M&M 4880x63,5x12/HC"
MSC ELA,2012-12-21,802917050,3,5.598,M3,767434,2012-12-29,2012-12-22,C,"MOL CASING346 PP M&M 2159x57,15x14HC1080"
MSC AUSTRIA,2013-01-17,802917055,1,1.363,M3,928400,2012-12-26,2013-01-16,A,"MOL STOP 897A PP M&M 2135x30x9,5/CO2240"
MSC AUSTRIA,2013-01-17,802917055,2,36.792,M3,771583,2012-12-26,2013-01-16,A,MOL CASING 444 PP M&M 5185x80x14/HC792
MSC AUSTRIA,2013-01-17,802917055,3,13.268,M3,747595,2012-12-26,2013-01-16,A,MOL CASING C100 PP M&M 4270x56x17/HC
MSC AUSTRIA,2013-01-17,802917057,1,16.8,M3,704081,2012-12-26,2013-01-16,A,"MOL CASING 356 PP M&M 4270x57,4x14/HC/"
MSC AUSTRIA,2013-01-17,802917057,2,11.464,M3,703043,2012-12-26,2013-01-16,A,"MOL CASING 356 PP M&M 2185x57,4x14"
MSC AUSTRIA,2013-01-17,802917057,3,6.634,M3,747595,2012-12-26,2013-01-16,A,MOL CASING C100 PP M&M 4270x56x17/HC
MSC AUSTRIA,2013-01-17,802917057,4,3.757,M3,692211,2012-12-26,2013-01-16,A,MOL CASING C-200 PP M&M 4880x81x12
MSC ROMANOS,2013-01-14,802917059,1,22.128,M3,504341,2012-12-29,2013-01-07,A,MOL CASING 366MC PP M&M 5185x57x15
MSC ROMANOS,2013-01-14,802917059,2,23.17,M3,504337,2012-12-29,2013-01-07,A,MOL CASING 366MC PP M&M 2160x57x15
MSC ROMANOS,2013-01-14,802917059,2,23.17,M3,504337,2012-12-29,2013-01-07,A,MOL CASING 366MC PP M&M 2160x57x15
MSC LISA,2012-12-29,802917062,1,47.148,M3,685315,2012-12-29,2012-12-26,C,MOL CASING 366W PP M&M 5185x82x14
MSC LISA,2012-12-29,802917074,1,20.937,M3,747402,2012-12-29,2012-12-26,C,MOL CASING 412 PP SD 4880x114x14/HC
MSC LISA,2012-12-29,802917074,2,2.863,M3,747253,2012-12-29,2012-12-26,C,MOL BASE 545 PP M&M 4880x127x15/HC
MSC LISA,2012-12-29,802917074,3,12.752,M3,503892,2012-12-29,2012-12-26,C,MOL BASE 620M PP M&M 4880x108x12
MSC LISA,2012-12-29,802917074,4,2.882,M3,783521,2012-12-29,2012-12-26,C,"MOL STOP M08885 PP M&M 2135x41x12,7/CO"
NYK LYNX,2013-01-11,802917080,1,9.294,M3,730855,2012-12-30,2013-01-09,A,MOL CASING 473 PP M&M 2135x56x15
NYK LYNX,2013-01-11,802917080,2,13.56,M3,939807,2012-12-30,2013-01-09,A,MOL CASING 496 PP M&M 2135x84x15/504
NYK LYNX,2013-01-11,802917080,3,7.944,M3,726740,2012-12-30,2013-01-09,A,MOL CASING 473 PP M&M 5185x56x15
NYK LYNX,2013-01-11,802917080,4,6.586,M3,939808,2012-12-30,2013-01-09,A,MOL CASING 496 PP M&M 5185x84x15/504
MSC ROMANOS,2013-01-14,802917085,1,34.36,M3,772647,2012-12-23,2013-01-07,A,"MOL S4S E2E1-04PP M&M 4880x88,9x12/HC330"
MSC ROMANOS,2013-01-14,802917085,1,34.36,M3,772647,2012-12-23,2013-01-07,A,"MOL S4S E2E1-04PP M&M 4880x88,9x12/HC330"
MSC ROMANOS,2013-01-14,802917085,2,4.428,M3,794626,2012-12-23,2013-01-07,A,"MOL CASING 473 PP M&M 2135x57,15x14"
MSC ELENI,2012-12-25,802917089,1,37.64,M3,504300,2012-12-23,2012-12-23,C,"MOL CASING 356 PP M&M 4880x57,4x14"
MSC ELENI,2012-12-25,802917089,2,4.428,M3,794626,2012-12-23,2012-12-23,C,"MOL CASING 473 PP M&M 2135x57,15x14"
MSC ELENI,2012-12-25,802917116,1,34.28,M3,503915,2012-12-23,2012-12-23,C,"MOL BASE 625 PP M&M 4880x57,15x12"
MSC ELENI,2012-12-25,802917116,2,4.428,M3,794626,2012-12-23,2012-12-23,C,"MOL CASING 473 PP M&M 2135x57,15x14"
